county_vera,year,n_docs,mean_ideology,pct_progressive,pct_traditional,pct_ext_lenient,pct_int_lenient,county_name,jail_pop,jail_pop_rate,jail_pretrial,jail_pretrial_rate,jail_adm,jail_adm_rate,jail_sentenced,black_jail_rate,white_jail_rate,total_pop,jail_capacity,bw_disparity,jail_utilisation,pretrial_share
Los Angeles County,2016.0,11,0.5454545454545454,63.63636363636363,9.090909090909092,54.54545454545454,36.36363636363637,Los Angeles County,16305.4375,233.5725,10187.7,145.9325,155919.0625,2233.4975,6117.7375,806.8175,132.76,10123056.0,20729.5625,6.0772634829768,78.65789497486982,62.48038422765412
Los Angeles County,2017.0,32,0.37037037037037035,40.625,18.75,43.75,25.0,Los Angeles County,16837.5,241.6475,10547.1725,151.3725,148132.3125,2125.9700000000003,6290.327499999999,840.1524999999999,138.6875,10124649.0,21876.8125,6.057881928796755,76.96505146716414,62.64096510764663
Los Angeles County,2018.0,53,-0.0625,22.641509433962266,18.867924528301888,35.84905660377358,32.075471698113205,Los Angeles County,16675.25,240.395,10944.7375,157.785,134598.75,1940.4275,5730.512500000001,827.9,136.005,10098033.0,21263.625,6.087276203080769,78.4214826963888,65.63462316906794
Los Angeles County,2019.0,65,0.13725490196078433,26.153846153846157,13.846153846153847,26.153846153846157,13.846153846153847,Los Angeles County,16933.9375,245.785,11596.02,168.3075,123946.5625,1799.005,5337.9175,864.6625,127.5975,10052530.0,21011.3125,6.776484648993907,80.59438219292583,68.47798983550047
Los Angeles County,2020.0,100,0.75,48.0,10.0,39.0,38.0,Los Angeles County,14049.715,205.5925,9005.3625,131.7775,99732.125,1459.4025,5044.3525,707.45,96.5675,9992236.0,21333.5,7.32596370414477,65.85752455058945,64.09640693779197
Los Angeles County,2021.0,43,1.0833333333333333,60.46511627906976,0.0,41.86046511627907,41.86046511627907,Los Angeles County,14343.0375,214.46,7683.7525000000005,114.8875,75612.0,1130.555,6659.285,723.135,103.63499999999999,9811842.0,21388.75,6.9777102330293825,67.05879258956227,53.571305938508495
Los Angeles County,2022.0,17,0.9230769230769231,41.17647058823529,5.88235294117647,35.294117647058826,29.411764705882355,Los Angeles County,13790.25,208.3075,6656.37,100.545,77994.25,1178.12,7133.88,721.7825,103.0175,9721138.0,21391.0,7.006406678476958,64.46753307465757,48.2686680807092
Madera County,2019.0,2,1.0,100.0,0.0,100.0,100.0,Madera County,473.0,482.77750000000003,361.9875,369.4675,5306.6875,5416.37,111.0125,889.3525,392.335,155463.0,564.0,2.2668191723909414,83.86524822695036,76.5301268498943
Madera County,2020.0,3,1.0,66.66666666666666,0.0,33.33333333333333,33.33333333333333,Madera County,394.4375,401.19,243.89249999999998,248.07,4788.1875,4870.1525,150.54500000000002,721.8050000000001,304.70500000000004,156343.0,564.0,2.368864967755698,69.93572695035462,61.83299001742988
Madera County,2021.0,4,1.0,50.0,0.0,25.0,25.0,Madera County,415.25,413.45,247.83499999999998,246.76,4537.0,4517.35,167.41500000000002,879.485,332.14750000000004,158910.0,564.0,2.6478748146531284,73.62588652482269,59.68332329921734
Marin County,2015.0,2,0.5,50.0,0.0,0.0,50.0,Marin County,272.25,164.4125,209.83249999999998,126.7175,7166.5,4327.885,62.4175,1176.7375,118.5175,263367.0,376.0,9.928807981943594,72.40691489361703,77.0734618916437
Marin County,2016.0,3,0.0,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,Marin County,321.25,195.1625,238.1975,144.7075,6776.625,4116.8025,83.0525,1419.6075,142.43,263542.0,376.0,9.967053991434389,85.43882978723404,74.14708171206226
Marin County,2017.0,3,0.6666666666666666,66.66666666666666,0.0,33.33333333333333,33.33333333333333,Marin County,322.75,197.5225,231.57,141.72,6779.75,4149.1975,91.18,1319.565,155.3375,263209.0,376.0,8.49482578257021,85.8377659574468,71.74903175832688
Marin County,2019.0,3,0.6666666666666666,66.66666666666666,0.0,0.0,33.33333333333333,Marin County,277.25,171.20250000000001,154.48499999999999,95.395,7245.125,4473.82,122.765,988.385,124.20500000000001,263195.0,376.0,7.957690914214402,73.73670212765957,55.7204688908927
Marin County,2020.0,4,0.0,25.0,25.0,25.0,25.0,Marin County,194.1875,121.3775,159.0625,99.4225,6009.9375,3756.515,35.125,824.115,68.9075,261282.0,377.6875,11.959728621703007,51.414860168790334,81.91181203733505
Marin County,2021.0,9,0.75,55.55555555555556,22.22222222222222,55.55555555555556,44.44444444444444,Marin County,201.25,127.1775,171.8775,108.6175,5805.6875,3668.8424999999997,29.372500000000002,1072.125,68.5,259162.0,384.625,15.651459854014599,52.323691907702305,85.40496894409938
Marin County,2022.0,3,2.0,100.0,0.0,100.0,66.66666666666666,Marin County,246.25,158.7,214.5625,138.28,5408.125,3485.3575,31.6875,,,256018.0,385.9375,,63.805668016194325,87.13197969543147
Merced County,2018.0,2,-1.0,0.0,50.0,0.0,0.0,Merced County,602.75,339.74,508.33500000000004,286.525,6491.875,3659.165,94.415,1221.545,341.7425,275542.0,751.1875,3.5744603027133004,80.23962060071554,84.33596018249689
Merced County,2019.0,5,-0.2,40.0,40.0,40.0,40.0,Merced County,628.25,349.57500000000005,503.87,280.37,6448.3125,3588.0175,124.38,2059.2625,397.2625,279169.0,746.4375,5.1836317296497905,84.16645733902705,80.20214882610426
Merced County,2020.0,6,-0.5,16.666666666666664,50.0,16.666666666666664,16.666666666666664,Merced County,580.5,319.735,475.075,261.6675,4899.875,2698.81,105.425,1649.8575,304.8425,281814.0,746.0,5.412163658282556,77.81501340482573,81.83893195521102
Merced County,2021.0,4,0.25,25.0,25.0,50.0,50.0,Merced County,533.5,291.2975,468.0425,255.5575,2630.5,1436.28,65.4575,771.59,220.175,284458.0,746.0,3.504439650278188,71.51474530831099,87.73055295220244
Merced County,2023.0,5,0.0,20.0,20.0,20.0,20.0,Merced County,463.0,245.985,411.34000000000003,218.54000000000002,4706.1875,2500.3275,257.33,944.625,186.785,290014.0,746.0,5.057285113901009,62.06434316353887,88.84233261339094
Monterey County,2018.0,2,1.0,100.0,0.0,100.0,0.0,Monterey County,873.5,307.7525,527.9275,186.0025,10528.5,3709.415,345.5725,847.2875,227.705,439276.0,825.0,3.72098768142992,105.87878787878789,60.43817973669148
Monterey County,2019.0,5,0.4,60.0,40.0,60.0,60.0,Monterey County,863.5,304.3675,543.6424999999999,191.6275,12265.8125,4323.514999999999,319.85749999999996,766.385,217.1325,440040.0,825.0,3.529572956604838,104.66666666666666,62.958019687319045
Monterey County,2020.0,6,0.16666666666666666,50.0,50.0,50.0,50.0,Monterey County,788.875,280.22249999999997,513.1575,182.2825,10841.125,3850.9125000000004,275.7175,668.9075,192.01,438390.0,825.0,3.4837117858444877,95.62121212121212,65.04927903660275
Monterey County,2021.0,13,0.6666666666666666,61.53846153846154,15.384615384615385,76.92307692307693,46.15384615384615,Monterey County,866.75,308.92,557.9925,198.8725,9598.8125,3421.1324999999997,308.7575,735.675,211.0375,437249.0,933.0,3.4859918260972576,92.89924973204717,64.37755985001442
Napa County,2020.0,2,1.5,100.0,0.0,50.0,0.0,Napa County,199.125,227.28,,,5239.0,5979.77,199.125,,,137485.0,276.0,,72.14673913043478,
Napa County,2021.0,2,1.0,50.0,0.0,100.0,50.0,Napa County,195.75,225.7925,,,5239.0,6043.02,195.75,,,136206.0,276.0,,70.92391304347827,
Napa County,2022.0,2,0.0,50.0,50.0,50.0,0.0,Napa County,225.25,264.805,,,5239.0,6158.96,225.25,,,134300.0,276.0,,81.61231884057972,
Orange County,2015.0,2,-1.0,0.0,100.0,0.0,0.0,Orange County,6076.115,283.0425,3298.035,153.6275,79010.67,3680.5099999999998,2778.08,1091.36,192.8775,3157377.0,5804.9425,5.658306438024134,104.67140716725444,54.27867971557484
