filename,county,source,relevant_date,date_of_production,upload_date,document_url,download_url,download_success
2015.10.05_Alameda County_(WARRANTLESS SEARCHES).pdf,Alameda County,Office of the Alameda District Attorney,10/05/2015,,04/03/2025,https://www.aclunc.org/20151005-alameda-county-warrantless-searchespdf,https://drive.google.com/open?id=19hoJjXLQAhrugv7H3oVWU8ukh4yqvItV,True
2015.10.05_Alameda County_PRCS Search Condition.mp4,Alameda County,Office of the Alameda District Attorney,10/05/2015,,04/03/2025,https://www.aclunc.org/20151005-alameda-county-prcs-search-conditionmp4,https://drive.google.com/open?id=1nMIMtkvNnTp75hg1X7C9NNsejx0EV1wq,True
2016.02.01_Alameda County_GBI with DUI_JUV. GRAND JURY.pdf,Alameda County,Office of the Alameda District Attorney,02/01/2016,,04/03/2025,https://www.aclunc.org/20160201-alameda-county-gbi-dui-juv-grand-jurypdf,https://drive.google.com/open?id=1HxJxyW-rFkzo3FMmMgIuS1FaO5e_FFM2,True
2016.02.01_Alameda County_Section 1101(b) Evidence-Grand Jury for Juveniles.mp4,Alameda County,Office of the Alameda District Attorney,02/01/2016,,04/03/2025,https://www.aclunc.org/20160201-alameda-county-section-1101b-evidence-grand-jury-juvenilesmp4,https://drive.google.com/open?id=11vqaDbio8pNKp7esaExg8Gf-iKMYYFbY,True
2016.02.29_Alameda County_Torture.mp4,Alameda County,Office of the Alameda District Attorney,02/29/2016,,04/03/2025,https://www.aclunc.org/20160229-alameda-county-torturemp4,https://drive.google.com/open?id=1EasraRuga4PDL0HkkZC1Mn8kydvyMpNI,True
2016.02.29_Alameda County_TORTURE.pdf,Alameda County,Office of the Alameda District Attorney,02/29/2016,,04/03/2025,https://www.aclunc.org/20160229-alameda-county-torturepdf,https://drive.google.com/open?id=19YyAIkEegs0grCCzeaOE4nXzfsyxZ6ED,True
2016.03.14_Alameda County_MULTIPLE BURGLARIES .pdf,Alameda County,Office of the Alameda District Attorney,03/14/2016,11/03/2022,04/03/2025,https://www.aclunc.org/20160314-alameda-county-multiple-burglaries-pdf,https://drive.google.com/open?id=1E5cyuck_oEPw8F3O29krojFiVK5w5noG,True
2016.03.14_Alameda County_Multiple Burglaries.mp4,Alameda County,Office of the Alameda District Attorney,03/14/2016,,04/03/2025,https://www.aclunc.org/20160314-alameda-county-multiple-burglariesmp4,https://drive.google.com/open?id=1Gvwv5xRaIn5hvyErgNEQE7V3K1XUPgvt,True
2016.03.28_Alameda Count_BASIC FELONY SENTENCING.pdf,Alameda County,Office of the Alameda District Attorney,03/28/2016,11/03/2022,04/03/2025,https://www.aclunc.org/20160328-alameda-count-basic-felony-sentencingpdf,https://drive.google.com/open?id=1xmaU5RAACD9lGbnUUECvRKvVN4aFpV0z,True
2016.03.28_Alameda County_Intro to Felony Sentencing Part 1.mp4,Alameda County,Office of the Alameda District Attorney,03/28/2016,,04/03/2025,https://www.aclunc.org/20160328-alameda-county-intro-felony-sentencing-part-1mp4,https://drive.google.com/open?id=1c0DbOcXUMCxmGGdvptRlwLJ5M7w-JnYO,True
2016.04.04_Alameda County_Basic Felony Sentencing II).pdf,Alameda County,Office of the Alameda District Attorney,04/04/2016,11/03/2022,04/03/2025,https://www.aclunc.org/20160404-alameda-county-basic-felony-sentencing-iipdf,https://drive.google.com/open?id=1G5ZEZhgIZ8LbUSgHOvyjhjiEdTb5vn6C,True
2016.04.04_Alameda County_Intro to Felony Sentencing Part 2.mp4,Alameda County,Office of the Alameda District Attorney,04/04/2016,,04/03/2025,https://www.aclunc.org/20160404-alameda-county-intro-felony-sentencing-part-2mp4,https://drive.google.com/open?id=1MdOtoSh2WVldA2AdbqNzrZwsXaWTLsOq,True
2016.04.18_Alameda County_ATT BURG_ IMPLIED CONSENT.pdf,Alameda County,Office of the Alameda District Attorney,04/18/2016,11/03/2022,04/03/2025,https://www.aclunc.org/20160418-alameda-county-att-burg-implied-consentpdf,https://drive.google.com/open?id=1rptwyGaImrWpqhuaemeOBu_lMr_BUfyV,True
2016.04.18_Alameda County_Implied Consent-Blood Draws.mp4,Alameda County,Office of the Alameda District Attorney,04/18/2016,,04/03/2025,https://www.aclunc.org/20160418-alameda-county-implied-consent-blood-drawsmp4,https://drive.google.com/open?id=1IlGb_UJ3pArdLmhE_PPRRoPyx1dGnqXz,True
2016.05.02_Alameda County_Felony Murder Major Participants.mp4,Alameda County,Office of the Alameda District Attorney,05/02/2016,,04/03/2025,https://www.aclunc.org/20160502-alameda-county-felony-murder-major-participantsmp4,https://drive.google.com/open?id=1v3pcJbGPen8AEqEzj6Cb4cQnFyE4C7Lu,True
2016.05.02_Alameda County_Major Participant Special Circumstance.pdf,Alameda County,Office of the Alameda District Attorney,05/02/2016,11/03/2022,04/03/2025,https://www.aclunc.org/20160502-alameda-county-major-participant-special-circumstancepdf,https://drive.google.com/open?id=1aJEwIPEzPWj62ZYzudBXc595pwvU9XS3,True
2016.05.23_Alameda County_Navigating Changes for Youthful Offenders_Katy Kobal.mp4,Alameda County,Office of the Alameda District Attorney,05/23/2016,,04/03/2025,https://www.aclunc.org/20160523-alameda-county-navigating-changes-youthful-offenders-katy-kobalmp4,https://drive.google.com/open?id=1iM9GNEbnqYQxE9n58WMFQwzihzQviv_S,True
2016.05.23_Alameda County_YOUTHFUL OFFENDERS.pdf,Alameda County,Office of the Alameda District Attorney,05/23/2016,11/03/2022,04/03/2025,https://www.aclunc.org/20160523-alameda-county-youthful-offenderspdf,https://drive.google.com/open?id=13nO0DaUJ-A1N1UGj76CXbINM6F_6B5_K,True
2016.08.01_Alameda County_Juvenile Sentencing Update.mp4,Alameda County,Office of the Alameda District Attorney,08/01/2016,,04/03/2025,https://www.aclunc.org/20160801-alameda-county-juvenile-sentencing-updatemp4,https://drive.google.com/open?id=1bw_FI9hMLmPSvk4SriaH-folhXl244yK,True
2016.08.01_Alameda County_UPDATE YOUTHFUL OFFENDERS.pdf,Alameda County,Office of the Alameda District Attorney,08/01/2016,11/03/2022,04/03/2025,https://www.aclunc.org/20160801-alameda-county-update-youthful-offenderspdf,https://drive.google.com/open?id=1bx7IgS5kePiZzqA1eD6p70Pf9jcSZJu0,True
2016.09.26_Alameda County_Lying in Wait.mp4,Alameda County,Office of the Alameda District Attorney,09/26/2016,,04/03/2025,https://www.aclunc.org/20160926-alameda-county-lying-waitmp4,https://drive.google.com/open?id=1tnB8LEfM20dDdei2gesKzPGyEVEKwCfg,True
2016.09.26_Alameda County_Special Circumstance and First Degree Murder.pdf,Alameda County,Office of the Alameda District Attorney,09/26/2016,11/03/2022,04/03/2025,https://www.aclunc.org/20160926-alameda-county-special-circumstance-and-first-degree-murderpdf,https://drive.google.com/open?id=1LtuXQEq2421LCZVhWin9mrQkKdIxSyCE,True
2017.02.21_Alameda County_Great Bodily Injury.mp4,Alameda County,Office of the Alameda District Attorney,02/21/2017,,04/03/2025,https://www.aclunc.org/20170221-alameda-county-great-bodily-injurymp4,https://drive.google.com/open?id=1GlEzbiDN1nF5KacD5bEh4W7AsAZ-G7Ww,True
2017.02.21_Alameda County_PROVING GBI.pdf,Alameda County,Office of the Alameda District Attorney,02/21/2017,,04/03/2025,https://www.aclunc.org/20170221-alameda-county-proving-gbipdf,https://drive.google.com/open?id=1SkeW_AXgFvLD_YfKBaSQSRpc9HklYF0C,True
2017.07.17_Alameda County_PROP 57 EARLY RELEASE.pdf,Alameda County,Office of the Alameda District Attorney,07/17/2017,,04/03/2025,https://www.aclunc.org/20170717-alameda-county-prop-57-early-releasepdf,https://drive.google.com/open?id=1kpiR4LdzF-vmqw8aEtbxWwvk--sShUHx,True
2017.07.17_Alameda County_Prop 57 Sentencing.mp4,Alameda County,Office of the Alameda District Attorney,07/17/2017,,04/03/2025,https://www.aclunc.org/20170717-alameda-county-prop-57-sentencingmp4,https://drive.google.com/open?id=134pXZ7s_WH5-iFAQtJLf6gFKt2evXgW7,True
2017.07.31_Alameda County_Brady Alerts and Pitchess.pdf,Alameda County,Office of the Alameda District Attorney,07/31/2017,,04/03/2025,https://www.aclunc.org/20170731-alameda-county-brady-alerts-and-pitchesspdf,https://drive.google.com/open?id=1z-8fBv01s8ysk0JXEIJ1ZlKF2N3XnRtG,True
2017.07.31_Alameda County_People v. Valencia.mp4,Alameda County,Office of the Alameda District Attorney,07/31/2017,,04/03/2025,https://www.aclunc.org/20170731-alameda-county-people-v-valenciamp4,https://drive.google.com/open?id=11zDyLeeWroKQsOW97JtHUH-Ha6hEiZA3,True
2017.08.14_Alameda County_Sealed Juvenile Records Prop 36.mp4,Alameda County,Office of the Alameda District Attorney,08/14/2017,,04/03/2025,https://www.aclunc.org/20170814-alameda-county-sealed-juvenile-records-prop-36mp4,https://drive.google.com/open?id=1YYFi4Ul8pJK5ayGzxTGLIrqeWfhJGxBy,True
"2017.08.21_Alameda County_Prop 36, Sealed Juvenile Files.pdf",Alameda County,Office of the Alameda District Attorney,08/21/2017,,04/03/2025,https://www.aclunc.org/20170821-alameda-county-prop-36-sealed-juvenile-filespdf,https://drive.google.com/open?id=1OnUhbyb3gfz-gPqS1Ua0W1KyygutlY6p,True
"2017.09.18_Alameda County_Aranda Bruton, Batson Wheeler.pdf",Alameda County,Office of the Alameda District Attorney,09/18/2017,,04/03/2025,https://www.aclunc.org/20170918-alameda-county-aranda-bruton-batson-wheelerpdf,https://drive.google.com/open?id=1Bm4mH4AZRiPrU89Zg0FeyXMLF1Gd_-eJ,True
2017.09.18_Alameda County_Batson Wheeler.mp4,Alameda County,Office of the Alameda District Attorney,09/18/2017,,04/03/2025,https://www.aclunc.org/20170918-alameda-county-batson-wheelermp4,https://drive.google.com/open?id=1YdHCeN_96SRJKXO5X9FhX1obhmkeJV6J,True
2017.09.25_Alameda County_Felony Sentencing Pt.I.pdf,Alameda County,Office of the Alameda District Attorney,09/25/2017,,04/03/2025,https://www.aclunc.org/20170925-alameda-county-felony-sentencing-ptipdf,https://drive.google.com/open?id=1z2tt1bwZs1y2yJ8FVBhs1ZMWJPMq1q9S,True
2017.09.25_Alameda County_Intro to Felony Sentencing Part 1.mp4,Alameda County,Office of the Alameda District Attorney,09/25/2017,,04/03/2025,https://www.aclunc.org/20170925-alameda-county-intro-felony-sentencing-part-1mp4,https://drive.google.com/open?id=1T6xKadMJjpvMtUaKx30UhagvPyogYAct,True
2017.10.02_Alameda County_Felony Sentencing Pt.II.pdf,Alameda County,Office of the Alameda District Attorney,10/02/2017,,04/03/2025,https://www.aclunc.org/20171002-alameda-county-felony-sentencing-ptiipdf,https://drive.google.com/open?id=1ZHBDScTJfqq27Cau9bl2_AlVEFRaLr4D,True
2017.10.02_Alameda County_Intro to Felony Sentencing Part 2.mov,Alameda County,Office of the Alameda District Attorney,10/02/2017,,04/03/2025,https://www.aclunc.org/20171002-alameda-county-intro-felony-sentencing-part-2mov,https://drive.google.com/open?id=1ZldfKb1DmfI3QliFq6e9MSO-6KHMMSmI,True
